experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2474.86289755573,6075.554786441787,8837.66016,82.0,1.2522850407378303,3.0,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,12.839174090359656,15.407008908431585,15.4871496,0.00885890449135141,1.355487129472092,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,12.786230872287726,15.34347704674527,15.4075896,0.00566969887446485,1.3498976849965927,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,12.544522270002284,15.05342672400274,15.487149599999999,0.2579527768305533,1.3243794626269305,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,12.30664474196638,14.767973690359655,14.8347576,0.006152017007882936,1.2992657033325994,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,adaptive_routing,static_matrix,minimal,3.500002699277653,12.499946496229013,7.712221866666667e-07,4.28032e-06,0.000366592,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,adaptive_routing,static_matrix,ecmp,4.000003084888746,12.499946496229013,7.712221866666667e-07,4.28032e-06,0.000366592,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,contiguous,733184.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,random,733184.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,locality,733184.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,spectral,733184.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3097.7566340782123,2496.643154748603,2901.4271999999996,70.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2470.448673184357,1791.956744145251,2611.28448,82.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,3.735232093126605,4.855801721064586,4.90732125,0.003069743463284246,0.8105972424319889,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,3.7109081745012835,4.8241806268516685,4.86539625,0.001964635816501913,0.805318614258091,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,3.6576035226962604,4.754884579505139,4.90732125,0.026254414851118606,0.7937507644740149,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,3.5277932051879652,4.586131166744355,4.62905612,0.0021309731523696945,0.7655801226536382,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,adaptive_routing,static_matrix,minimal,3.500009094656,24.999843840975434,2.598473142857143e-06,6.2464e-06,0.000366592,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,adaptive_routing,static_matrix,ugal,4.0000103938925715,24.999843840975434,2.598473142857143e-06,6.2464e-06,0.000366592,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,adaptive_routing,static_matrix,valiant,5.000012992365715,24.999843840975434,2.598473142857143e-06,6.2464e-06,0.000366592,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,contiguous,366592.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,random,366592.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,locality,366592.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,spectral,366592.0,0.0,125.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3097.7566340782123,8449.666787150836,9819.622399999998,70.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2470.448673184357,6064.718282312848,8837.66016,82.0,1.3258554469273744,3.0,,,,,,,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,12.824485256567252,15.389382307880703,15.4871496,0.012973874785528762,1.3539363657693468,
cosp2_n128_sparse_20260122_004059,cosp2,real,129,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,12.774479805253803,15.329375766304562,15.4075896,0.00830327986273847,1.3486570740343964,
